routeid,region,size,variable,long,lat
11,ATO,2.78845211338908,long18,35.5200870491505,56.3497442875624
12,NA,0.275115624721756,long18,34.6748233495603,66.9273978889613
13,EU,10.9803510329698,long18,34.5795271765512,72.961261363711
14,AS,30.1355157240119,long18,83.6378379978328,42.175477968139
15,ATO,2.78845211338908,long18,-5.01287183356721,43.3745041576503
16,MS,0.963089001128358,long18,45.7902522390715,38.511736955124
17,AS,30.1355157240119,long18,50.329966324879,30.5597058497481
18,EU,10.9803510329698,long18,59.8978355127662,45.7792599563146
19,ATO,2.78845211338908,long18,19.5801413060043,35.6085711308244
20,EU,10.9803510329698,long18,62.885007336586,57.2688367707609
1,NA,0.275115624721756,long19,-17.2387819892505,48.9926604446168
2,EU,10.9803510329698,long19,69.2708663682771,53.0609437010565
3,EU,10.9803510329698,long19,89.2076709974873,63.9054981007583
4,AS,30.1355157240119,long19,-46.1280244433163,53.4091831131113
5,ATO,2.78845211338908,long19,83.7258097290708,50.6447971886516
6,ATO,2.78845211338908,long19,91.4713388875934,64.2304027389811
7,ATO,2.78845211338908,long19,62.2234757171387,53.7888785723543
8,EU,10.9803510329698,long19,94.8686103387582,50.5251177794508
9,CS,1.07643236311117,long19,74.3753657134479,41.6780850092587
10,ATO,2.78845211338908,long19,29.3933777448102,51.7580847666238
11,ATO,2.78845211338908,long19,39.7906864755718,56.0860179352068
12,NA,0.275115624721756,long19,45.7394126801804,65.8858216066636
13,EU,10.9803510329698,long19,43.8750856269492,71.3540792691343
14,AS,30.1355157240119,long19,83.7918019639388,42.0539766225218
15,ATO,2.78845211338908,long19,-0.429781050748627,43.3180295062035
16,MS,0.963089001128358,long19,48.9599818586665,38.9261407009416
17,AS,30.1355157240119,long19,51.4377215142812,31.0706080228022
18,EU,10.9803510329698,long19,61.8537970649085,45.8356194646399
19,ATO,2.78845211338908,long19,22.6215120786936,36.133523103849
20,EU,10.9803510329698,long19,63.5352228848138,56.3264618305354
1,NA,0.275115624721756,long20,-10.0538835834971,49.145894524006
2,EU,10.9803510329698,long20,72.1911683024627,51.9464166846183
3,EU,10.9803510329698,long20,87.1422176084606,62.8117991074545
4,AS,30.1355157240119,long20,-34.9132110568087,53.7562435559647
5,ATO,2.78845211338908,long20,84.6031215769001,50.014620481423
6,ATO,2.78845211338908,long20,89.481449605105,62.5414224211208
7,ATO,2.78845211338908,long20,66.0738593204821,52.6660250195202
8,EU,10.9803510329698,long20,94.7214410862171,50.0574217563378
9,CS,1.07643236311117,long20,75.3175619718089,41.7656405607524
10,ATO,2.78845211338908,long20,34.9973680591514,51.6073783739003
11,ATO,2.78845211338908,long20,43.466301133543,55.6852609645515
12,NA,0.275115624721756,long20,55.7684542896148,64.7423653028858
13,EU,10.9803510329698,long20,53.805370254093,69.7515338255627
14,AS,30.1355157240119,long20,83.8958597435735,41.9513211879633
15,ATO,2.78845211338908,long20,4.40045045399088,43.2448451563214
16,MS,0.963089001128358,long20,52.0923897662402,39.2645093545306
17,AS,30.1355157240119,long20,52.6245279890124,31.6040522508213
18,EU,10.9803510329698,long20,63.8064377297484,45.8140519857678
19,ATO,2.78845211338908,long20,25.7736093414543,36.6811389767967
20,EU,10.9803510329698,long20,64.4042285139969,55.3445652268873
1,NA,0.275115624721756,long21,-2.74236143863557,49.2133291134057
2,EU,10.9803510329698,long21,74.7251246933022,50.8528341805463
3,EU,10.9803510329698,long21,85.5419652588573,61.6062862289515
4,AS,30.1355157240119,long21,-24.5937003643739,53.5736107362489
5,ATO,2.78845211338908,long21,85.2998554643404,49.4189404810396
6,ATO,2.78845211338908,long21,87.7140511681288,60.6503448273443
7,ATO,2.78845211338908,long21,69.252945503342,51.5699313422764
8,EU,10.9803510329698,long21,94.5244402838374,49.628504403721
9,CS,1.07643236311117,long21,76.1797052465864,41.8788224307654
10,ATO,2.78845211338908,long21,40.4587051986678,51.3174466155837
11,ATO,2.78845211338908,long21,46.473656198536,55.1675036830366
12,NA,0.275115624721756,long21,61.8106524117951,63.4838790240754
13,EU,10.9803510329698,long21,64.8634111606863,68.1167264526138
14,AS,30.1355157240119,long21,84.0250334813776,41.8986963991067
15,ATO,2.78845211338908,long21,9.44411520153418,43.164757926581
16,MS,0.963089001128358,long21,55.1393534149787,39.5340499649249
17,AS,30.1355157240119,long21,53.9100060828554,32.1998215246083
18,EU,10.9803510329698,long21,65.7168873290947,45.7362348023541
19,ATO,2.78845211338908,long21,29.0547513008658,37.260733013563
20,EU,10.9803510329698,long21,65.430072192957,54.3815154271268
1,NA,0.275115624721756,long22,4.50675995443781,49.2107682863022
2,EU,10.9803510329698,long22,76.5923757102965,49.8575450862976
3,EU,10.9803510329698,long22,84.5252069861824,60.3445682543023
4,AS,30.1355157240119,long22,-14.7763040830031,53.0261527680559
5,ATO,2.78845211338908,long22,85.8692999413071,48.8176330953833
6,ATO,2.78845211338908,long22,86.3873234415725,58.6175152683466
7,ATO,2.78845211338908,long22,71.9164953663128,50.5283454280074
8,EU,10.9803510329698,long22,94.2404182839613,49.1786151205355
9,CS,1.07643236311117,long22,77.0079648736691,41.9753545760597
10,ATO,2.78845211338908,long22,45.7465226912435,50.8939362711903
11,ATO,2.78845211338908,long22,49.3759317471516,54.5795418260525
12,NA,0.275115624721756,long22,65.2620929681154,62.0930599050695
13,EU,10.9803510329698,long22,74.020853617054,66.3833540337126
14,AS,30.1355157240119,long22,84.1771754907017,41.8406300731215
15,ATO,2.78845211338908,long22,14.6354236178272,43.139517386564
16,MS,0.963089001128358,long22,58.0901000789748,39.7505963657727
17,AS,30.1355157240119,long22,55.3460151331088,32.8566104610255
18,EU,10.9803510329698,long22,67.5848635082772,45.6147229893095
19,ATO,2.78845211338908,long22,32.5035943180044,37.8915716398724
20,EU,10.9803510329698,long22,66.608207611854,53.4661810733409
1,NA,0.275115624721756,long23,11.417292359293,49.1201118826996
2,EU,10.9803510329698,long23,78.0285000470415,48.9636024277434
3,EU,10.9803510329698,long23,83.8980322365199,59.0523725755573
4,AS,30.1355157240119,long23,-5.12984042419592,52.2818350728967
5,ATO,2.78845211338908,long23,86.2937883076612,48.1810323826297
6,ATO,2.78845211338908,long23,85.5307121967976,56.5947278857893
7,ATO,2.78845211338908,long23,74.202517287044,49.5040042114158
8,EU,10.9803510329698,long23,93.8112842602928,48.6739913859276
9,CS,1.07643236311117,long23,77.7920313678314,42.0106198499612
10,ATO,2.78845211338908,long23,50.7071437021654,50.3028282068407
11,ATO,2.78845211338908,long23,52.2861884283011,53.9170355052998
12,NA,0.275115624721756,long23,67.9738010312478,60.5377400885264
13,EU,10.9803510329698,long23,78.8409140353627,64.4786485404532
14,AS,30.1355157240119,long23,84.271642959885,41.7527683972684
15,ATO,2.78845211338908,long23,19.9734903867879,43.1881246141365
16,MS,0.963089001128358,long23,60.9338428428336,39.8828190878698
17,AS,30.1355157240119,long23,56.9505350395844,33.521705132669
18,EU,10.9803510329698,long23,69.3916254874626,45.4234428805517
19,ATO,2.78845211338908,long23,36.137819571116,38.5268905853633
20,EU,10.9803510329698,long23,67.9138906740919,52.5664954672088
1,NA,0.275115624721756,long24,18.0106985528845,48.9237749444721
2,EU,10.9803510329698,long24,79.2434172858315,48.1712493846736
3,EU,10.9803510329698,long24,83.63273656171,57.7479012444915
4,AS,30.1355157240119,long24,3.64117929960553,51.6782046368112
5,ATO,2.78845211338908,long24,86.5573680781806,47.5559314845771
6,ATO,2.78845211338908,long24,85.0063797306485,54.7899026491782
7,ATO,2.78845211338908,long24,76.1269723479671,48.4937801949723
8,EU,10.9803510329698,long24,93.256866352142,48.1385749867007
9,CS,1.07643236311117,long24,78.522814788685,42.0246463056542
10,ATO,2.78845211338908,long24,55.2006223773326,49.5381078713258
11,ATO,2.78845211338908,long24,55.1714387519814,53.150741651184
12,NA,0.275115624721756,long24,70.1946860608154,58.8254228569939
13,EU,10.9803510329698,long24,80.5627105514797,62.3742626310226
14,AS,30.1355157240119,long24,84.3016327035412,41.6929833588476
15,ATO,2.78845211338908,long24,25.4172465454528,43.2877806942831
16,MS,0.963089001128358,long24,63.6256595771513,39.927004435055
17,AS,30.1355157240119,long24,58.6777761584951,34.1630699033553
18,EU,10.9803510329698,long24,71.1144395121503,45.1790104715503
19,ATO,2.78845211338908,long24,39.9295179877852,39.1121129009094
20,EU,10.9803510329698,long24,69.2755201001038,51.662681892735
