date,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
2031-06-01,51224.7024460076,51157.5845834869,68723.7385142907,68231.8299251903,91284.4579205719,67957.5863136426,61894.9326650126,55046.8465327797
2031-07-01,53944.4688727695,52468.5994764888,57779.7271485289,49694.6686121257,79352.2457094964,63680.3642812915,52823.8182360087,56959.3313132138
2031-08-01,78770.6983557333,55955.9243074295,57476.5280466255,50035.3987847985,66358.1332272653,43941.152537164,50344.9976412142,55719.1610992839
2031-09-01,67560.501820891,88147.9247578473,85410.0577060952,49694.6686121257,75211.4605450629,71578.7333864708,75587.9210883104,74519.0055054631
2031-10-01,73394.2842085859,65741.0351344425,79526.5168601532,67684.5780108777,56528.7304920079,55310.2113484436,58275.4544168239,68372.4202751188
2031-11-01,66620.8089874766,61146.5870212281,47431.8419902141,92861.0522374686,59236.4720284785,79060.6821735612,65038.62608522,82741.9204357674
2031-12-01,57140.1530605756,63304.4990412556,61985.4507875554,64767.7890543585,59727.3904339795,64169.4242464142,56660.0195346143,68094.010182154
2032-01-01,63633.006834263,84048.4923481653,69221.3494276382,61772.8734460899,70906.3166549296,64169.4242464142,57730.967798403,65481.7279522024
2032-02-01,63667.2422467897,67155.1322405347,69875.9176247053,79744.4770618685,77858.4955426919,64632.9535282481,65191.2080657383,81000.4322685257
2032-03-01,70738.4208208461,74928.8450228263,67135.2485374186,66021.3931213903,71087.1257001432,84827.5441699298,71745.5686268695,70308.9106394572
2032-04-01,62610.493862197,74915.7123772119,86735.2112018525,65254.2067719512,73900.8744409941,80091.8623185492,57730.967798403,99562.3228849667
2032-05-01,45939.650985643,82072.207403527,56975.3500151878,77070.4134868333,77858.4955426919,87727.0446027972,102179.543434701,88414.5905171645
2032-06-01,41806.6449488442,55963.5585064254,66036.7427436039,78926.9812693449,61174.643018356,56642.3052791105,70797.6365178757,93083.4883206179
2032-07-01,49624.9065322058,54388.0463395808,55918.5231321583,47401.1119714413,46827.3833860337,54678.0068441547,50212.9585087303,59786.3256482453
2032-08-01,87468.563191376,52468.5994764888,56189.4124619477,61656.3734910979,56259.2661821078,64741.514942588,57531.6331595462,52243.0287857605
2032-09-01,77743.2204071717,59688.7411068992,63619.4287545879,48131.6685986829,59720.2429739438,78209.1892285947,49363.1053127849,59764.3955335255
