date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2008-12-01,92655.9749657681,79041.0101310301,74247.0417227286,79145.2577515461,78398.2366202051,79904.3360152446,88483.0753022723,72488.3215870736,77624.4275926307
2009-01-01,62042.1223709849,55390.1206127381,67245.7131330868,57933.1154909273,72785.0965556373,74379.388492378,60722.3766029214,60527.4838408128,58423.3491626338
2009-02-01,51564.4809518903,53281.1053095653,61780.6135995433,57014.7433382828,56258.4095703033,59005.2176950205,69906.6020540371,56019.1909408762,68762.4717213227
2009-03-01,48927.0661262723,55708.5580535499,55182.0261321244,67046.2408059387,52765.2494316635,57517.6258114582,59376.9809019257,49950.271179177,52646.925419498
2009-04-01,29056.235991566,50020.4135670542,48538.4718383187,48344.169961861,51719.0990267686,44708.2821393932,41580.8615828215,42870.1238191955,46386.0723542109
2009-05-01,45438.3771156376,59812.8508716918,56332.8705857158,61160.9198453715,59973.7231616626,58110.8472571832,66587.8302175646,57726.4799875465,63554.7802249179
2009-06-01,60303.7177446202,63393.4942993083,67829.1325406226,66183.5542665948,69591.6518732016,70442.2925174915,62001.9481884155,59714.2522684669,61709.4946716362
2009-07-01,56614.6995103857,67103.0304842428,73973.9141225944,51306.3953907816,64398.9028016585,75936.6671769614,66672.6477250137,70277.8583241961,67838.8733693462
2009-08-01,68825.960435207,65801.2224567966,77449.6083795072,66188.1027334069,78276.3639566164,72220.7593123243,72613.5324998576,75279.3493007108,66007.4748105972
2009-09-01,70916.724312854,63854.9497430705,75143.6486290767,68738.9949768173,70584.4932534546,66886.3109229146,64954.6246949163,70890.4876681632,72287.856020155
2009-10-01,82880.6816358855,68231.9156143812,62226.8694324238,84379.5625404874,78790.5021316455,66094.8710236073,68688.1761252152,94463.5148034619,70685.9470647253
2009-11-01,83332.5255468979,81613.68647811,80946.0341899938,87322.5588377777,78986.2932351843,80922.2916996669,79605.682501138,83593.7607906065,80025.5633534067
2009-12-01,82254.0502849372,71013.2582239605,57307.6723200432,76647.2404683736,54779.1637363813,80523.56308381,68924.0185911474,55954.8553258848,65752.2657118039
2010-01-01,68355.8252203725,69495.8120599968,67679.0683229266,62470.3533668476,60086.5162903305,70551.6973697139,65954.3966373758,60445.7653505664,62084.8119154446
2010-02-01,68539.5443387964,53594.206024748,59950.9759368264,54312.7931548378,52287.4251736383,66867.0349904898,50436.5341023105,55954.8553258848,69607.1761668733
2010-03-01,60997.8218790201,60792.4401368698,64575.0242283741,63164.1674593558,59799.809830799,55598.242517426,58299.1311908174,66604.8803030308,58254.4766415702
2010-04-01,65976.7944829377,61500.0698489751,78231.2933880296,63613.522772997,60224.4768591321,66654.5684811011,64922.1001633943,79352.2456775552,65397.8388684981
2010-05-01,67293.5312546646,63830.320446107,75034.0351234807,90784.5541044691,85384.4271709052,50155.3484157292,86275.1384040007,63090.3420272684,81905.5683849378
2010-06-01,70252.1360944667,72772.9605105874,68726.5807102903,60634.3677261829,61222.5210744074,78423.3308896631,66509.2147960378,80293.1386193774,67298.4087427994
2010-07-01,57621.0423080898,65291.1500423266,61328.2039757045,61816.8698436576,61222.5210744074,68292.3790290977,57587.83042555,67006.486250692,61990.3287381906
2010-08-01,79838.7621142995,72772.9605105874,80846.1807831444,73411.5702673762,77687.4092025987,81447.4560525247,65953.3970684259,73697.6962560421,82148.470473005
2010-09-01,87897.5309673445,91799.6881123766,75438.4580261282,79990.170030709,77968.2789871156,81978.8097761593,77322.1809161979,80305.1645255615,83068.2702976525
2010-10-01,83841.8471882228,71482.6816370146,82039.0405333301,77212.3089986488,84152.6223667346,77661.4622073169,86573.359005799,82067.7254823644,82148.470473005
2010-11-01,111044.358278737,98919.974777418,89082.2051642295,88361.300695141,81932.3649384737,85556.0971794732,93779.4194108589,94445.0732913484,100946.375770677
2010-12-01,99747.4873562024,63801.9236037121,69955.2603694529,58905.3334285875,55067.8099333337,66817.3881851991,63271.7548061474,50026.4933952076,64385.309877143
2011-01-01,65925.9135004769,67255.412585296,69623.6172302678,65558.1029042706,58631.4234046474,66121.2240337698,60696.0608103375,62158.7690894499,59780.0551246266
2011-02-01,60023.2568324522,63521.7504574328,61223.3715714699,66555.9512478382,57919.2909520567,61410.164847703,62205.6276784391,60710.4759560699,55262.6280311908
2011-03-01,54050.0133713239,57079.9390914492,52335.197235679,52397.00264945,55838.4452809689,54834.4264015094,54005.9538853005,65698.8822997208,51467.3564874787
2011-04-01,45986.4077672663,50254.4967473372,51081.1705484787,62709.1873708692,66941.3436082979,47670.3595013008,42514.9383855423,60539.5013016714,63948.5426005466
2011-05-01,71412.3365359554,81053.1398310239,52691.2142465416,66376.8236040342,66941.3436082979,44708.2821393932,69906.6020540371,97288.1389579728,86173.8757802969
2011-06-01,55957.9447891203,59709.6515299983,60888.2419988078,52492.6558734275,61192.1802708321,61457.9662852093,58092.5913494325,59496.0278570876,61577.0852697906
2011-07-01,56052.6374927685,56275.2885124387,66917.8527341755,69747.413890844,61674.3432115633,71299.1805880608,61108.0142055447,57789.3596352828,61574.3429117575
2011-08-01,68085.5853927985,73221.751094537,75008.815170011,69060.6516924049,62221.9941614675,73052.5721297972,61819.8271143035,79711.7953389075,62608.3314025794
2011-09-01,83243.5855520358,81816.3777524934,73973.9141225944,73328.7731821281,80618.9485162109,78423.3308896631,87996.4449456812,72825.2851486031,75478.7327476971
2011-10-01,85926.7229994514,81971.7700470934,79858.6228820359,88326.4968375064,79055.4718339191,70965.1478247432,85547.3083971409,83767.625471563,83012.2414128646
2011-11-01,99891.8917160256,97380.3218943123,86941.4650377285,93104.6048021724,73824.8539303955,82207.2937964237,81043.7555737675,91104.7258272461,91154.3946528075
